"Name","DNSHostName","OperatingSystem","OperatingSystemVersion","Enabled","LastLogonDate"
"DC01","DC01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/2/2026 4:42:07 PM"
"FW01","FW01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/5/2026 9:43:23 AM"
"BDC01","BDC01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/3/2026 8:44:02 AM"
"DNS01","DNS01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/2/2026 5:05:19 PM"
"DHCP","DHCP.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/2/2026 5:05:02 PM"
"MONO1","MONO1.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/3/2026 8:48:40 AM"
"DB01","DB01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/3/2026 9:05:12 AM"
"BACKUP01","Backup01.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/5/2026 11:25:05 AM"
"WEB01SERVER","Web01Server.Royalty.Local","Windows Server 2025 Standard Evaluation","10.0 (26100)","True","9/5/2026 7:58:05 PM"
"WIN10CLIENT","WIN10Client.Royalty.Local","Windows 10 Pro","10.0 (19045)","True","9/5/2026 11:56:08 PM"
